id,temperature,pressure,humidity,wind_speed,wind_direction,precipitation,snowing,cloudiness,target
TRAIN_00000,21.06600000000003,1016.2,63.6,1.8,204.0,0.0,False,10.4,5.426
TRAIN_00001,13.968000000000018,1017.2,87.8,1.4,221.4,0.0,False,16.6,2.23
TRAIN_00002,28.154,1018.4,52.6,0.8,234.0,0.0,False,19.0,0.588
TRAIN_00003,11.815999999999974,1030.0,79.6,1.6,200.0,0.0,False,22.0,2.712
TRAIN_00004,17.49200000000002,1012.6,70.8,4.8,242.0,0.06,False,45.0,8.136
TRAIN_00005,20.01800000000003,1017.0,80.0,1.8,146.8,0.0,False,8.0,3.691
TRAIN_00006,29.676000000000045,1019.2,46.4,2.8,210.0,0.0,False,23.0,5.403
TRAIN_00007,15.79600000000005,1002.0,60.8,4.2,180.0,0.6,False,57.0,1.439
TRAIN_00008,14.05400000000003,1011.4,70.0,6.8,236.0,0.06,False,49.0,7.486
TRAIN_00009,24.12200000000007,1014.2,61.8,3.6,182.0,0.18,False,35.0,4.801
TRAIN_00010,19.39599999999996,1019.2,67.8,2.8,170.4,0.0,False,27.0,2.245
TRAIN_00011,19.650000000000038,1008.8,70.0,3.8,210.0,0.18,False,53.0,8.641
TRAIN_00012,22.48160000000001,1013.4,64.8,1.6,229.6,0.0,False,1.6,4.456
TRAIN_00013,23.81800000000004,1011.6,54.0,4.2,178.0,0.0,False,8.0,2.983
TRAIN_00014,9.991000000000042,1025.4,93.2,1.0,93.4,0.0,False,27.0,2.361
TRAIN_00015,24.436000000000035,1019.8,70.0,4.4,150.0,0.0,False,30.0,1.986
TRAIN_00016,24.73199999999997,1019.0,68.2,1.6,10.0,0.0,False,38.0,5.75
TRAIN_00017,10.532000000000096,1010.0,82.4,3.2,200.0,0.0,False,49.0,4.97
TRAIN_00018,16.75600000000003,1005.6,74.2,6.0,198.0,0.24,False,49.0,13.895
TRAIN_00019,21.36600000000004,1017.6,47.2,2.8,156.0,0.0,False,8.0,1.323
TRAIN_00020,6.558462500000019,1010.0,84.6,2.6,121.2,0.0,False,54.4,3.575
TRAIN_00021,35.97000000000003,1016.2,28.8,3.2,112.0,0.0,False,8.0,4.891
TRAIN_00022,13.948000000000036,1026.4,51.0,0.8,95.4,0.0,False,15.0,2.83
TRAIN_00023,14.689400000000036,996.6,84.4,1.8,168.2,0.0,False,4.0,2.088
TRAIN_00024,18.882000000000065,1015.8,66.4,1.0,112.8,0.18,False,34.0,7.201
TRAIN_00025,12.768000000000027,1020.2,91.0,1.4,148.0,0.0,False,0.0,3.19
TRAIN_00026,10.51600000000002,1017.6,81.2,3.0,222.4,0.0,False,22.0,11.376
TRAIN_00027,25.194000000000077,1016.0,53.4,2.4,153.2,0.0,False,23.0,1.623
TRAIN_00028,21.738000000000056,1016.0,70.0,1.2,196.4,0.0,False,8.0,4.92
TRAIN_00029,30.480000000000015,1017.4,51.8,4.0,214.0,0.0,False,4.0,12.601
TRAIN_00030,10.890000000000043,1023.0,77.8,2.4,199.8,0.0,False,16.6,7.548
TRAIN_00031,22.397999999999968,997.2,84.2,1.4,135.2,0.0,False,2.4,4.79
TRAIN_00032,14.126000000000031,1019.0,93.0,2.2,173.4,0.06,False,33.0,3.454
TRAIN_00033,21.63400000000001,1028.6,68.2,2.2,98.0,0.0,False,16.0,4.915
TRAIN_00034,30.88000000000005,1018.2,52.8,4.8,210.0,0.0,False,23.0,6.212
TRAIN_00035,28.108000000000004,1007.2,38.8,8.6,258.0,0.18,False,32.0,15.564
TRAIN_00036,11.608000000000004,1021.8,82.6,4.4,184.0,0.0,False,31.0,2.655
TRAIN_00037,22.198200000000043,996.2,65.4,2.8,179.8,0.12,False,58.8,4.222
TRAIN_00038,8.69440000000003,1021.0,77.8,2.0,202.6,0.06,False,22.0,9.699
TRAIN_00039,19.55600000000004,1007.6,75.8,1.0,128.0,0.0,False,20.0,0.751
TRAIN_00040,12.036,1010.8,83.4,3.8,234.0,0.42,False,46.0,11.531
TRAIN_00041,30.82000000000005,1019.6,53.0,2.0,89.2,0.0,False,15.0,4.1
TRAIN_00042,11.738000000000056,1010.2,76.4,1.6,140.2,0.36,False,41.0,5.672
TRAIN_00043,33.468000000000075,1019.4,39.6,4.6,162.0,0.0,False,4.0,2.426
TRAIN_00044,16.06000000000006,1002.8,90.8,3.4,108.0,0.24,False,63.0,8.06
TRAIN_00045,14.105000000000018,983.2,95.0,2.4,240.2,0.72,False,61.6,4.939
TRAIN_00046,15.840000000000089,1013.4,66.8,2.6,131.4,0.0,False,4.0,6.95
TRAIN_00047,12.614000000000033,1010.2,75.8,3.2,216.0,0.36,False,39.0,8.305
TRAIN_00048,13.077999999999976,1029.4,78.8,2.2,188.0,0.06,False,50.0,2.613
TRAIN_00049,11.75400000000002,1026.2,86.0,1.4,138.0,0.0,False,6.4,1.641
TRAIN_00050,14.54200000000003,1017.4,88.6,2.0,214.0,0.06,False,35.0,4.136
TRAIN_00051,26.16140000000007,1033.0,53.6,2.2,171.0,0.0,False,0.0,4.246
TRAIN_00052,21.00200000000001,1017.0,52.0,2.2,54.0,0.0,False,27.0,8.234
TRAIN_00053,10.970000000000027,1016.2,67.8,4.8,192.0,0.18,False,40.0,3.513
TRAIN_00054,10.451999999999998,1026.2,89.0,1.0,60.0,0.0,False,18.4,8.003
TRAIN_00055,20.076000000000025,1020.0,44.0,2.0,132.0,0.0,False,8.0,4.443
TRAIN_00056,22.05600000000004,1016.2,40.4,2.2,158.0,0.0,False,8.0,7.62
TRAIN_00057,19.260000000000048,1010.0,57.8,4.2,149.0,0.12,False,40.6,3.456
TRAIN_00058,22.122062500000027,998.2,56.8,2.8,237.4,0.12,False,30.8,6.365
TRAIN_00059,14.399000000000116,1006.0,85.0,1.4,146.8,0.0,False,2.4,1.497
TRAIN_00060,21.514000000000067,1015.4,61.6,3.4,134.0,0.0,False,42.0,4.931
TRAIN_00061,30.76800000000003,1020.2,31.2,4.4,118.0,0.0,False,4.0,9.868
TRAIN_00062,21.928,1016.2,58.4,3.6,182.0,0.0,False,31.0,8.083
TRAIN_00063,10.148000000000025,1016.6,94.6,1.0,189.2,0.06,False,64.4,0.777
TRAIN_00064,14.174000000000037,1014.0,74.0,2.4,150.0,0.0,False,34.0,9.046
TRAIN_00065,18.480000000000015,1013.2,44.8,8.4,256.0,0.0,False,31.0,14.333
TRAIN_00066,4.451999999999998,1025.4,94.6,1.4,78.2,0.0,False,10.4,9.862
TRAIN_00067,8.032000000000039,1019.0,65.6,4.2,28.0,0.6599999999999999,False,47.6,7.677
TRAIN_00068,12.50400000000002,991.0,88.4,2.0,202.0,0.06,False,9.6,4.742
TRAIN_00069,22.434000000000022,1014.6,82.6,1.0,188.0,0.0,False,40.6,3.781
TRAIN_00070,34.10000000000002,1020.0,46.8,4.0,208.0,0.0,False,12.0,14.395
TRAIN_00071,22.44460000000004,1003.2,51.2,3.4,151.4,0.18,False,18.4,8.968
TRAIN_00072,10.139731250000011,990.8,74.2,6.2,196.4,0.78,True,66.0,6.642
TRAIN_00073,27.124000000000024,1009.0,53.6,4.2,163.4,0.06,False,42.0,5.44
TRAIN_00074,12.890000000000043,1014.6,63.6,3.2,258.2,0.06,False,23.0,2.881
TRAIN_00075,23.160000000000025,1017.2,77.6,1.6,152.0,0.0,False,17.6,3.219
TRAIN_00076,14.462331250000034,1017.6,68.2,2.4,105.8,0.3,False,56.8,4.917
TRAIN_00077,20.01800000000003,1018.2,67.2,2.8,176.0,0.06,False,64.0,2.413
TRAIN_00078,10.115006250000022,1012.6,86.2,4.8,140.6,0.24,False,46.2,12.376
TRAIN_00079,16.149999999999977,1031.4,59.0,2.4,184.0,0.0,False,8.0,1.856
TRAIN_00080,11.994000000000028,1031.4,92.0,1.8,184.0,0.0,False,22.0,2.669
TRAIN_00081,11.226,1018.6,80.6,2.4,220.0,0.0,False,27.0,5.261
TRAIN_00082,32.50600000000003,1011.8,51.2,4.8,168.0,0.06,False,27.0,4.986
TRAIN_00083,17.74067500000001,1027.2,59.2,2.6,161.0,0.12,False,33.2,3.855
TRAIN_00084,21.99600000000004,1015.8,56.6,2.0,114.0,0.0,False,20.0,2.659
TRAIN_00085,5.468000000000018,1018.6,68.2,2.0,225.8,0.06,False,15.0,4.613
TRAIN_00086,10.578000000000031,1014.4,69.6,1.0,122.0,0.36,False,27.0,5.991
TRAIN_00087,28.006000000000085,1023.6,49.6,3.2,80.0,0.0,False,34.0,8.009
TRAIN_00088,24.878000000000043,1018.0,67.0,1.8,48.0,0.06,False,29.6,6.945
TRAIN_00089,5.288000000000011,1024.8,74.8,2.2,74.0,0.0,False,12.0,7.271
TRAIN_00090,20.02000000000004,1014.8,52.2,3.8,272.0,0.06,False,41.0,5.176
TRAIN_00091,15.038000000000013,1025.4,66.2,3.4,90.6,0.0,False,27.0,10.291
TRAIN_00092,27.391200000000023,1030.8,64.6,1.8,176.0,0.0,False,9.6,8.257
TRAIN_00093,20.998000000000047,1016.6,71.6,2.0,166.0,0.18,False,16.8,5.818
TRAIN_00094,30.23400000000004,1016.2,45.6,4.6,186.0,0.0,False,23.0,6.5
TRAIN_00095,12.02000000000004,1023.8,81.4,1.6,176.0,0.0,False,0.0,7.047
TRAIN_00096,17.232000000000085,993.2,78.2,2.0,198.0,0.06,False,26.4,3.67
TRAIN_00097,13.748000000000047,999.8,65.0,6.4,260.0,0.36,False,53.0,3.328
TRAIN_00098,19.35400000000004,1019.4,45.4,2.4,120.0,0.06,False,20.0,12.379
TRAIN_00099,13.731862500000034,1004.2,81.6,2.0,222.2,0.06,False,44.2,6.374
